"OTUID"	"CR1.T0_S24_L001"	"CR2.T0.KDH_S64_L001"	"CR2.T0_S23_L001"	"CR3.T0_S22_L001"	"CR4.T0_S21_L001"	"Taxon"	"Confidence"
"OTU_1035"	0	1	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307"	0.871033796810242
"OTU_1036"	0	0	0	1	1	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Rubritalea"	0.999995213217943
"OTU_1039"	31	58	1	50	83	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured bacterium;D_6__uncultured bacterium"	0.890305947089042
"OTU_104"	59	154	0	83	155	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.892017185343356
"OTU_1040"	8	21	0	5	26	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__Nisaeaceae;D_5__OM75 clade"	0.999974582798265
"OTU_1042"	6	26	1	18	17	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.997588746177103
"OTU_1045"	15	117	0	50	57	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.985462012802292
"OTU_1046"	0	1	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.926917482241518
"OTU_1048"	17	39	0	28	9	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade"	0.870075872384856
"OTU_1049"	1	1	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade"	0.999925024547408
"OTU_105"	136	419	0	370	355	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);D_4__uncultured bacterium HF0200_39L23;D_5__uncultured bacterium HF0200_39L23;D_6__uncultured bacterium HF0200_39L23"	0.837492352699596
"OTU_1050"	0	2	0	2	2	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.99330799487191
"OTU_1051"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999074362690548
"OTU_1052"	5	29	0	19	17	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__marine metagenome;D_5__marine metagenome;D_6__marine metagenome"	0.881316409521031
"OTU_1053"	28	64	0	23	32	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.953956494037975
"OTU_1054"	5	19	0	20	18	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307"	0.897416118331843
"OTU_106"	1	4	0	0	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.964277454506069
"OTU_1060"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured alpha proteobacterium CHAB-III-8;D_6__uncultured alpha proteobacterium CHAB-III-8"	0.86650667909189
"OTU_1061"	14	18	0	9	18	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__Nisaeaceae;D_5__OM75 clade"	0.999970810595843
"OTU_1062"	9	50	0	35	29	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade;D_6__unidentified marine bacterioplankton"	0.999999634774706
"OTU_1063"	9	38	1	17	22	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.964346816430157
"OTU_1064"	16	37	0	5	28	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.941218947466975
"OTU_1065"	1	5	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.943449612607342
"OTU_1066"	0	0	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.988607710616557
"OTU_1068"	5	58	0	46	42	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.963675868826214
"OTU_107"	129	227	0	192	118	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.99839498701022
"OTU_1070"	0	3	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999423948584682
"OTU_1071"	16	50	0	25	39	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.999888061022635
"OTU_1072"	68	173	0	33	53	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae"	0.984440287651538
"OTU_1073"	32	57	0	26	42	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999997538748266
"OTU_1076"	10	37	0	13	18	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.916761430401396
"OTU_1077"	26	55	0	30	38	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured;D_4__unidentified marine bacterioplankton;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.885940865238136
"OTU_1079"	7	8	0	30	12	"D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria;D_3__Candidatus Peregrinibacteria"	0.985511508212085
"OTU_108"	69	125	1	74	134	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.84704274526023
"OTU_1080"	33	69	0	58	100	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS2b marine group;D_6__unidentified marine bacterioplankton"	0.971800443284129
"OTU_1082"	8	29	0	14	35	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.998786603906867
"OTU_1083"	3	16	0	67	18	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999952504142865
"OTU_1084"	17	68	0	57	46	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.997928169607709
"OTU_1085"	15	73	0	3	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__alpha proteobacterium HIMB114;D_6__alpha proteobacterium HIMB114"	0.993919439431108
"OTU_1086"	1	1	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999562673623283
"OTU_1088"	7	42	0	19	24	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.866442525345957
"OTU_109"	113	248	5	203	255	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.899572102904178
"OTU_1090"	23	36	0	34	58	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.985519312977514
"OTU_1091"	21	71	0	19	28	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.954803964677796
"OTU_1093"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.896806267522053
"OTU_1094"	11	13	0	13	21	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__marine metagenome;D_5__marine metagenome;D_6__marine metagenome"	0.848678269485618
"OTU_1095"	7	22	0	9	23	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.899156779413356
"OTU_1097"	4	16	0	11	23	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__marine metagenome;D_5__marine metagenome;D_6__marine metagenome"	0.859377382191598
"OTU_1098"	30	44	0	24	40	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999997689219967
"OTU_1099"	12	26	0	12	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__alpha proteobacterium HIMB114;D_6__alpha proteobacterium HIMB114"	0.943939699401004
"OTU_11"	1493	1861	6	1417	538	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.962087746523934
"OTU_110"	0	4	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.960514406324786
"OTU_1100"	7	41	0	15	17	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.901596938043139
"OTU_1101"	21	89	0	52	82	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.976249739271317
"OTU_1102"	9	44	0	36	20	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__marine metagenome;D_6__marine metagenome"	0.950755020922749
"OTU_1104"	10	31	0	6	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.960956653467778
"OTU_1105"	15	34	0	20	15	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade"	0.880724466247163
"OTU_1107"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.977855406557848
"OTU_1109"	9	35	0	24	22	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999086444185916
"OTU_111"	1	3	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999831795331709
"OTU_1110"	1	3	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.999991862439702
"OTU_1111"	14	67	0	15	24	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.957343234774614
"OTU_1113"	0	1	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999030919898191
"OTU_1116"	15	55	0	27	34	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.95989353117134
"OTU_1117"	11	10	0	50	24	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999828445329823
"OTU_1119"	0	22	0	6	16	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999165836928272
"OTU_112"	0	0	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999878069420927
"OTU_1120"	11	18	0	3	18	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__Nisaeaceae;D_5__OM75 clade"	0.999971650116841
"OTU_1125"	14	62	0	16	40	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group"	0.998715705167277
"OTU_1126"	0	1	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.99999994279666
"OTU_113"	187	175	0	90	8	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307"	0.923152258216164
"OTU_1131"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I"	0.999999321341412
"OTU_1134"	11	29	0	26	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.928415242580275
"OTU_1135"	2	3	0	0	2	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.858635248719197
"OTU_1136"	25	36	0	14	20	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.907588985271267
"OTU_1138"	18	40	0	20	27	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.999992910207422
"OTU_114"	0	5	0	1	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.972818832557178
"OTU_1140"	11	39	0	23	11	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__bacterium WHC4-2;D_5__bacterium WHC4-2;D_6__bacterium WHC4-2"	0.813604619487859
"OTU_1141"	19	48	0	18	22	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999021943978321
"OTU_1144"	0	1	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999931039787
"OTU_1145"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.997546147931019
"OTU_1146"	13	46	0	22	25	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Ilumatobacteraceae;D_5__uncultured"	0.949267654698806
"OTU_1147"	22	60	0	6	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria"	0.988049433409097
"OTU_115"	49	151	1	70	102	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured"	0.988333298657002
"OTU_1150"	2	27	0	11	26	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.996352385999977
"OTU_1151"	0	4	0	2	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.944785124347461
"OTU_1152"	1	0	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I"	0.999999039746467
"OTU_1154"	7	13	0	16	12	"D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Aeromicrobium;D_6__Aeromicrobium sp. REDSEA-S42_B4"	0.998425640915398
"OTU_1156"	0	1	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999589107709011
"OTU_1157"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria"	0.983927872042872
"OTU_1158"	25	58	0	55	75	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS2b marine group;D_6__unidentified marine bacterioplankton"	0.978420144172006
"OTU_116"	3	17	0	8	11	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999781019007185
"OTU_1160"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Thalassobaculales;D_4__Nisaeaceae;D_5__OM75 clade"	0.999972179352916
"OTU_1162"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.999988069806943
"OTU_1163"	59	294	1	80	88	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.96324347592823
"OTU_1164"	8	57	0	40	53	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.998851116238388
"OTU_1165"	8	12	0	13	10	"D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Aeromicrobium;D_6__Aeromicrobium sp. REDSEA-S42_B4"	0.996870092489334
"OTU_1166"	1	5	0	37	15	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999831910117233
"OTU_1167"	12	68	0	14	35	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group"	0.999279269950984
"OTU_1168"	2	26	0	19	15	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.97489783256046
"OTU_117"	79	104	0	136	114	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina;D_6__actinobacterium SCGC AAA015-M09"	0.854001070086694
"OTU_1170"	19	48	0	18	14	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Minutocellus sp. CCMP1701;D_5__Minutocellus sp. CCMP1701;D_6__Minutocellus sp. CCMP1701"	0.922934119657656
"OTU_1172"	0	1	0	0	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.904977485197601
"OTU_1173"	7	32	0	14	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.962458545376332
"OTU_1174"	7	25	0	6	4	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999952133484
"OTU_1175"	62	29	0	18	4	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.921303219297272
"OTU_1176"	3	37	0	21	25	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter"	0.999984213527729
"OTU_1177"	8	9	0	26	8	"D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria;D_3__Candidatus Peregrinibacteria"	0.972988927778759
"OTU_1178"	4	20	0	9	22	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.997294474016485
"OTU_1179"	0	3	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.956550069946339
